"year","section","sex","age_group","race","marital_status","total_unemployed","less_5_weeks","5_to_14_weeks","15_plus_weeks","15_to_26_weeks","27_plus_weeks","avg_duration","median_duration"
2025,"age_sex","Men","16-19",NA,NA,492,199,169,125,71,53,13.1,7
2025,"age_sex","Men","20-24",NA,NA,742,233,223,286,117,169,21.1,10
2025,"age_sex","Men","25-34",NA,NA,892,263,261,367,147,220,23,11
2025,"age_sex","Men","35-44",NA,NA,649,196,181,272,95,177,24.7,10.6
2025,"age_sex","Men","45-54",NA,NA,532,155,139,238,82,156,27.2,12.2
2025,"age_sex","Men","55-64",NA,NA,430,125,123,182,65,117,28.1,11.5
2025,"age_sex","Men","65+",NA,NA,218,65,61,92,27,65,32.7,10.4
2025,"age_sex","Women","16+",NA,NA,3359,1121,992,1247,508,739,22.7,9.7
2025,"age_sex","Women","16-19",NA,NA,413,179,134,100,46,54,14,6.5
2025,"age_sex","Women","20-24",NA,NA,560,192,181,186,78,109,19.5,8.9
2025,"age_sex","Women","25-34",NA,NA,753,252,217,283,119,164,22.4,9.7
2025,"age_sex","Women","35-44",NA,NA,626,198,167,261,106,154,25.4,10.8
2025,"age_sex","Women","45-54",NA,NA,467,142,125,201,70,131,26.8,11.3
2025,"age_sex","Women","55-64",NA,NA,367,107,117,143,61,83,25,11.1
2025,"age_sex","Women","65+",NA,NA,174,51,50,73,27,45,29.8,11
2025,"race","Total","White, 16+","White",NA,4840,1653,1456,1731,708,1023,21.9,9.3
2025,"race","Men",NA,"White",NA,2686,885,807,994,390,604,22.6,9.6
2025,"race","Women",NA,"White",NA,2154,768,649,737,319,419,21.2,8.9
2025,"race","Total","Black or African American, 16+","Black or African American",NA,1545,425,404,716,260,455,27,12.7
2025,"race","Men",NA,"Black or African American",NA,776,205,200,371,138,234,26.9,13.4
2025,"race","Women",NA,"Black or African American",NA,769,220,205,344,123,222,27.1,12.1
2025,"race","Total","Asian, 16+","Asian",NA,458,127,135,196,80,116,23.9,11.8
2025,"race","Men",NA,"Asian",NA,244,65,67,112,43,70,25.3,13
2025,"race","Women",NA,"Asian",NA,214,62,68,83,37,46,22.3,10.6
2025,"race","Total","Hispanic or Latino ethnicity, 16+","Hispanic or Latino",NA,1766,581,539,646,255,391,22.5,9.7
2025,"race","Men",NA,"Hispanic or Latino",NA,966,327,306,333,130,204,21.2,9.2
2025,"race","Women",NA,"Hispanic or Latino",NA,800,254,234,313,126,187,24,10.3
2025,"marital","Men",NA,NA,"Married, spouse present",1066,339,336,392,155,237,21.6,9.7
2025,"marital","Men",NA,NA,"Widowed, divorced, or  separated",464,151,126,186,72,115,28.2,10.6
2025,"marital","Men",NA,NA,"Never married",2425,746,695,984,379,605,23.1,10.4
2025,"marital","Women",NA,NA,"Married, spouse present",960,321,277,361,142,219,24.7,9.7
2025,"marital","Women",NA,NA,"Widowed, divorced, or  separated",568,180,169,219,89,130,25.2,10.3
2025,"marital","Women",NA,NA,"Never married",1832,619,546,666,277,390,20.9,9.4
